// PatSize	  TextSize	  Naive-RT	    KMP-RT
        10	     10000	      1794	      1292
       100	     10000	      1853	       809
      1000	     10000	       152	       571
        10	     20000	       701	      1307
       100	     20000	       481	       773
      1000	     20000	       331	      2182
     10000	     20000	       646	      1044
        10	     30000	       534	       339
       100	     30000	       344	       404
      1000	     30000	       451	       554
     10000	     30000	       380	       564
        10	     40000	       528	       525
       100	     40000	       515	       634
      1000	     40000	      1039	       492
     10000	     40000	       582	       791
        10	     50000	       650	       558
       100	     50000	       797	      1091
      1000	     50000	       758	       543
     10000	     50000	      1097	      1026
        10	     60000	       938	      1051
       100	     60000	       803	       627
      1000	     60000	       868	       864
     10000	     60000	       809	       900
        10	     70000	       997	      1123
       100	     70000	      1166	      1412
      1000	     70000	       861	      1139
     10000	     70000	      1481	      1105
        10	     80000	      1793	       836
       100	     80000	       914	       852
      1000	     80000	      1306	      1429
     10000	     80000	      1317	      2359
        10	     90000	      1539	      1366
       100	     90000	      1477	      1180
      1000	     90000	      2320	      4114
     10000	     90000	      1395	      1504
        10	    100000	      1424	      1141
       100	    100000	      1274	      1145
      1000	    100000	      1312	      1316
     10000	    100000	      1347	      1763
        10	    110000	      1561	      1181
       100	    110000	      1360	      1184
      1000	    110000	      1393	      1175
     10000	    110000	      1442	      1361
        10	    120000	      1685	      1252
       100	    120000	      1623	      1345
      1000	    120000	      1309	      1343
     10000	    120000	      1520	      1601
        10	    130000	      2071	      1451
       100	    130000	      1803	      1495
      1000	    130000	      2445	      1585
     10000	    130000	      1604	      1518
        10	    140000	      1772	      1635
       100	    140000	      1789	      1581
      1000	    140000	      1765	      1538
     10000	    140000	      2060	      1698
        10	    150000	      2173	      1630
       100	    150000	      1581	      1698
      1000	    150000	      1711	      1626
     10000	    150000	      1789	      1747
        10	    160000	      2394	      1756
       100	    160000	      1940	      1668
      1000	    160000	      1879	      1727
     10000	    160000	      2030	      1851
        10	    170000	      2328	      1801
       100	    170000	      2584	      1933
      1000	    170000	      2703	      1844
     10000	    170000	      2395	      1862
        10	    180000	      2485	      1887
       100	    180000	      2224	      2076
      1000	    180000	      1947	      2038
     10000	    180000	      2351	      2234
        10	    190000	      2412	      2049
       100	    190000	      2192	      2057
      1000	    190000	      2126	      2140
     10000	    190000	      2401	      2525
        10	    200000	      2970	      2189
       100	    200000	      2103	      2289
      1000	    200000	      2304	      2098
     10000	    200000	      2819	      2220
    100000	    200000	      5227	      3864
        10	    210000	      2748	      2370
       100	    210000	      2358	      2277
      1000	    210000	      2380	      2225
     10000	    210000	      2602	      2296
    100000	    210000	      4711	      6101
        10	    220000	      2837	      2468
       100	    220000	      2719	      2652
      1000	    220000	      2565	      2519
     10000	    220000	      2858	      2740
    100000	    220000	      4863	      5479
        10	    230000	      2892	      2480
       100	    230000	      2708	      2411
      1000	    230000	      2507	      2569
     10000	    230000	      2759	      2574
    100000	    230000	      5129	     10678
        10	    240000	      3078	      2666
       100	    240000	      2807	      2745
      1000	    240000	      2612	      2817
     10000	    240000	      2848	      2629
    100000	    240000	      5383	      3638
        10	    250000	      3962	      3842
       100	    250000	      3013	      2807
      1000	    250000	      2811	      2787
     10000	    250000	      2968	      3214
    100000	    250000	      5909	      3902
        10	    260000	      3250	      2712
       100	    260000	      2992	      2944
      1000	    260000	      2801	      2857
     10000	    260000	      3338	      2851
    100000	    260000	      5754	      3810
        10	    270000	      3322	      2850
       100	    270000	      2907	      2891
      1000	    270000	      2895	      2941
     10000	    270000	      3329	      2957
    100000	    270000	      6943	      3892
        10	    280000	      3864	      3116
       100	    280000	      3019	      3027
      1000	    280000	      3198	      3052
     10000	    280000	      3422	      3132
    100000	    280000	      6105	      3885
        10	    290000	      3901	      3153
       100	    290000	      3174	      3341
      1000	    290000	      3194	      3557
     10000	    290000	      4635	      3242
    100000	    290000	      6565	      3845
        10	    300000	      3857	      3559
       100	    300000	      3295	      3360
      1000	    300000	      3253	      4394
     10000	    300000	      3659	      3284
    100000	    300000	      6565	      4066
        10	    310000	      4393	      3313
       100	    310000	      3388	      3365
      1000	    310000	      3572	      3475
